cohort_id,cohort_name,outcome_concept_id
101,Allergic rhinitis,257007
102,Carpal tunnel syndrome,380094
103,Cerebral palsy,4134120
104,Chronic obstructive lung disease,255573
105,Contact dermatitis,134438
106,Cyst of ovary,197610
107,Deviated nasal septum,377910
108,Dislocation of shoulder joint,4213373
109,Endometriosis (clinical),433527
110,Foreign body in ear,374801
111,Gout,440674
112,Hemorrhoids,195562
113,Hypoparathyroidism,140362
114,Influenza,4266367
115,Ingrowing nail,139099
116,Osteoarthritis of knee,4079750
117,Prostatitis,194997
118,Sciatica,372409
119,Sleep apnea,313459
120,Vitamin D deficiency,436070
